"","Target","Type","Order","Solution_Area","NurseryHabitat_Rep","BlueCarbon_Rep","Recreation_Rep","CoastalProtection_Rep","Biodiversity_Rep","Zone"
"1","0.20","Single Service","1",189,0.2,0.03,0.04,0.04,0.05,"Confirmed_Beds"
"2","0.20","Single Service","2",641,0.07,0.2,0.07,0.12,0.12,"Confirmed_Beds"
"3","0.20","Single Service","3",222,0.1,0.05,0.2,0.04,0.05,"Confirmed_Beds"
"4","0.20","Single Service","4",793,0.29,0.12,0.05,0.2,0.17,"Confirmed_Beds"
"5","0.20","Single Service","5",645,0.2,0.12,0.11,0.14,0.2,"Confirmed_Beds"
"6","0.20","Two Services","1 2 ",670,0.2,0.2,0.19,0.14,0.16,"Confirmed_Beds"
"7","0.20","Two Services","1 3 ",273,0.2,0.06,0.2,0.06,0.07,"Confirmed_Beds"
"8","0.20","Two Services","1 4 ",793,0.29,0.12,0.05,0.2,0.17,"Confirmed_Beds"
"9","0.20","Two Services","1 5 ",645,0.2,0.12,0.11,0.14,0.2,"Confirmed_Beds"
"10","0.20","Two Services","2 3 ",649,0.1,0.2,0.2,0.12,0.12,"Confirmed_Beds"
"11","0.20","Two Services","2 4 ",844,0.33,0.2,0.16,0.2,0.2,"Confirmed_Beds"
"12","0.20","Two Services","2 5 ",737,0.25,0.2,0.21,0.15,0.2,"Confirmed_Beds"
"13","0.20","Two Services","3 4 ",815,0.31,0.14,0.2,0.2,0.18,"Confirmed_Beds"
"14","0.20","Two Services","3 5 ",654,0.22,0.12,0.2,0.14,0.2,"Confirmed_Beds"
"15","0.20","Two Services","4 5 ",801,0.31,0.14,0.06,0.2,0.2,"Confirmed_Beds"
"16","0.20","Three Services","1 2 3 ",670,0.2,0.2,0.2,0.14,0.16,"Confirmed_Beds"
"17","0.20","Three Services","1 2 4 ",844,0.33,0.2,0.16,0.2,0.2,"Confirmed_Beds"
"18","0.20","Three Services","1 2 5 ",737,0.25,0.2,0.21,0.15,0.2,"Confirmed_Beds"
"19","0.20","Three Services","1 3 4 ",815,0.31,0.14,0.2,0.2,0.18,"Confirmed_Beds"
"20","0.20","Three Services","1 3 5 ",654,0.22,0.12,0.2,0.14,0.2,"Confirmed_Beds"
"21","0.20","Three Services","1 4 5 ",801,0.31,0.14,0.06,0.2,0.2,"Confirmed_Beds"
"22","0.20","Three Services","2 3 4 ",846,0.34,0.2,0.2,0.2,0.2,"Confirmed_Beds"
"23","0.20","Three Services","2 3 5 ",737,0.25,0.2,0.21,0.15,0.2,"Confirmed_Beds"
"24","0.20","Three Services","2 4 5 ",845,0.34,0.2,0.17,0.2,0.2,"Confirmed_Beds"
"25","0.20","Three Services","3 4 5 ",818,0.33,0.15,0.2,0.2,0.2,"Confirmed_Beds"
"26","0.20","Four Services","1 2 3 4 ",846,0.34,0.2,0.2,0.2,0.2,"Confirmed_Beds"
"27","0.20","Four Services","1 2 3 5 ",737,0.25,0.2,0.21,0.15,0.2,"Confirmed_Beds"
"28","0.20","Four Services","1 2 4 5 ",845,0.34,0.2,0.17,0.2,0.2,"Confirmed_Beds"
"29","0.20","Four Services","1 3 4 5 ",818,0.33,0.15,0.2,0.2,0.2,"Confirmed_Beds"
"30","0.20","Four Services","2 3 4 5 ",846,0.34,0.2,0.2,0.2,0.2,"Confirmed_Beds"
"31","0.20","Five Services","1 2 3 4 5 ",846,0.34,0.2,0.2,0.2,0.2,"Confirmed_Beds"
